ID,productName,price,currency,brand,linkToDetails,imgPath
1,PC Portable X540LA - I3 5è Gén 4Go 500Go - Silver - Garantie 1 an,899.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x540la-i3-5e-gen-4go-500go-silver-garantie-1-an-83683.html,"https://tn.jumia.is/CJ6NofcOXzWqc7UhpQlUa0J4XxY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/38/638/1.jpg?5365"
2,Pc portable vivobook max - X540UB-GO054 - i5 8è gén - 8 go - 1To -  Silver- Garantie 2 ans,1649.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x540ub-go054-i5-8e-gen-8-go-1to-silver-garantie-2-ans-108237.html,"https://tn.jumia.is/mjxb1ux92sw9_FpAD6fJh8uIzME=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/73/2801/1.jpg?6403"
3,VivoBook X54UF - I7-8é Gén - 8 GO - 1To - 2Go Graphique - Silver - Ganrantie 2 ans,1929.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-vivobook-x54uf-i7-8e-gen-8-go-1to-2go-graphique-silver-ganrantie-2-ans-104715.html,"https://tn.jumia.is/1ysnYGoYYYmXDrK3e5AKeWuAxEA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/51/7401/1.jpg?2982"
4,Pc portable - IdeaPad 110 - Dual Core - 500 Go - 4 Go - Noir - Garantie 1 An,599.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ideapad-110-dual-core-500-go-4-go-noir-garantie-1-an-101307.html,"https://tn.jumia.is/u_CXjkTzRH5Tu1rT2i8zIrzLnwY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/70/3101/1.jpg?7245"
5,Pc portable - X540UB - i3 8ème Gén - 8 Go -1 To - Noir - Garantie 1 an,1299.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x540ub-i3-8eme-gen-8-go-1-to-noir-garantie-1-an-109146.html,"https://tn.jumia.is/iBUwe43j_5UrZfEz8yBwcvEi-M8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/64/1901/1.jpg?1093"
6,Pc Portable Ideapad 110 - 15IBR - Dual Core - 2 Go - 500 Go - 15.6&quot;  - Garantie 1 an,519.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ideapad-110-15ibr-dual-core-2-go-500-go-15.6-garantie-1-an-34460.html,"https://tn.jumia.is/yqvSN0TdgKNOlQykUFdeRL8f24k=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/06/443/1.jpg?9526"
7,250 G6 i3 6é Gén - 4Go - 500Go + Sacoche Offerte - Garantie 1an,929.0,TND,HP&nbsp;,https://www.jumia.com.tn/hp-250-g6-i3-6e-gen-4go-500go-sacoche-offerte-garantie-1an-105576.html,"https://tn.jumia.is/hWLwH8j4pGEVzD9DKN552MY2M4U=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/67/5501/1.jpg?2346"
8,PC portable 320-15ISK - i3-6006U - 4Go - 1To - Violet - Garantie 1 an,909.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-320-15isk-i3-6006u-4go-1to-violet-garantie-1-an-101308.html,"https://tn.jumia.is/K1qP3K728JN077z7ABZgZJR_MP8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/80/3101/1.jpg?8644"
9,PC Portable 15 - ra000nk - Dual Core - 4Go - 500Go - Garantie 1 an,645.0,TND,HP&nbsp;,https://www.jumia.com.tn/hp-pc-portable-15-ra000nk-dual-core-4go-500go-garantie-1-an-40304.html,"https://tn.jumia.is/L-G3BcJ_SIQOQrXWAj-AcdMLX1Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/40/304/1.jpg?6124"
10,VivoBook Flip TP202NA - Touch - Dual-Core - 2Go - 32Go - 11&quot; - Windows 10 - Silver - Garantie 1 An,749.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-vivobook-flip-tp202na-touch-dual-core-2go-32go-11-windows-10-silver-garantie-1-an-105427.html,"https://tn.jumia.is/TaqEL520clKJAe6piEv6ZbUKxck=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/72/4501/1.jpg?0004"
11,PC Portable i3 - 7è Gén - 4go - 1to - Silver - Garantie 1 an,1019.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-i3-7e-gen-4go-1to-silver-garantie-1-an-100924.html,"https://tn.jumia.is/FXgunzYYKbM81hSVJJb6gsa-qzk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/42/9001/1.jpg?3404"
12,PC portable Inspiron 3552 - N3050 - 4Go - 500Go - Noir - Garantie 1 an,630.0,TND,Dell&nbsp;,https://www.jumia.com.tn/dell-pc-portable-inspiron-3552-n3050-4go-500go-noir-garantie-1-an-30784.html,"https://tn.jumia.is/G-BgppReJEaZDuQMqu6lefsucy0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/48/703/1.jpg?1243"
13," VivoBook Max - X541NA - Dual-Core - 4Go - 500Go  - Noir - Garantie 1 An",595.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-vivobook-max-x541na-dual-core-4go-500go-noir-garantie-1-an-55264.html,"https://tn.jumia.is/Cz319RUYYekmfN0EIwmpOf8gFmM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/46/255/1.jpg?5509"
14,Pc portable IP110  - Quad Core N3710 - 4 Go - 500Go - 15.6 Pouces - Noir - Garantie 1 An,689.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ip110-quad-core-n3710-4-go-500go-15.6-pouces-noir-garantie-1-an-52349.html,"https://tn.jumia.is/vkqC2LqG2W1ttwffKr9ffJkMFfs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/94/325/1.jpg?8865"
15,Pc portable vivobook max - X540UB - i5 8è gén - 8 Go - 1 To - Noir - Garantie 2 ans,1649.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x540ub-i5-8e-gen-8-go-1-to-noir-garantie-2-ans-108235.html,"https://tn.jumia.is/j3k7NzsQzn2ORg5gT_pNPPguPsg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/53/2801/1.jpg?5144"
16,PC Portable i7 - 8è Gén - 8go - 1To - Noir - Garantie 2 ans,1899.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-i7-8e-gen-8go-1to-noir-garantie-2-ans-99477.html,"https://tn.jumia.is/Ib_nUw9Igml7NNRLTIKFyDGP3ZQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/77/499/1.jpg?0406"
17,Pc portable - i7 - 8è gén - 8go - 1to - Silver - Garantie 2 ans,1869.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-i7-8e-gen-8go-1to-silver-garantie-2-ans-99473.html,"https://tn.jumia.is/bzWmMbHWNe60EMnA9TfoPyhpPwk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/37/499/1.jpg?0404"
18,PC Portable IP320 - I7 8550U - 8 éme Gén -  8 Go - 2 To - 15.6&quot; - Gris - Garantie 1 an,2040.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ip320-i7-8550u-8-eme-gen-8-go-2-to-15.6-gris-garantie-1-an-103415.html,"https://tn.jumia.is/xGQ5UZdlvU3LDTV6GC7YO3uvEBI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/51/4301/1.jpg?5344"
19,PC portable ASUS VivoBook i5 -8Go -1To- Gold X542UF-GO448- Garantie: 1 an,1649.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-asus-vivobook-i5-8go-1to-gold-x542uf-go448-garantie-1-an-84485.html,"https://tn.jumia.is/KDLLrJcyj-HDJ7cdeQ67Qz3wA-s=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/58/448/1.jpg?4048"
20,PC Portable - IP 320-15IKBN - i7-8550U - 8Go - 1To - Garantie 1 an,1999.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ip-320-15ikbn-i7-8550u-8go-1to-garantie-1-an-71103.html,"https://tn.jumia.is/8yAaN7PCwWeG5GdR7UHefxx853I=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/30/117/1.jpg?7363"
21,Pc portable - VivoBook i7 - X542UF-GO453 - 15.6&quot; - 8 Go - 1 To - Gold - Garantie 2 Ans,1929.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-i7-x542uf-go453-15.6-8-go-1-to-gold-garantie-2-ans-102967.html,"https://tn.jumia.is/4NbLTjxRdNC3Sn50xFXmxfifwIk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/76/9201/1.jpg?8666"
22,PC Portable ASUS VivoBook i5 - 8 Go - 1 To - Dark Silver - X542UF - GO123 - Garantie 1 An,1649.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-asus-vivobook-i5-8-go-1-to-dark-silver-x542uf-go123-garantie-1-an-84486.html,"https://tn.jumia.is/q5wo50E-FOOXkZLUcaj4KCIVHJk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/68/448/1.jpg?2628"
23,PC Portable 10 Quad Core 2Go 32 Go - Blanc - Garantie 1 an,349.0,TND,Vega&nbsp;,https://www.jumia.com.tn/vega-pc-portable-10-quad-core-2go-32-go-blanc-garantie-1-an-27826.html,"https://tn.jumia.is/ZFuR_sgjcZtt2JPl5zn__SIcg8o=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/62/872/1.jpg?3224"
24,PC portable Asus VivoBook Max X705UB -i7 8È GÉN - 8 Go - Garantie: 2 ans,2269.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-asus-vivobook-max-x705ub-i7-8e-gen-8-go-garantie-2-ans-84484.html,"https://tn.jumia.is/6iy2aKUUHOMdOnIffIUbtkv26ww=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/48/448/1.jpg?4048"
25,PC portable VivoBook S14 S410UN - i7 8è Gén - 8 Go - Gold - Garantie : 2 ans,2189.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-s14-s410un-i7-8e-gen-8-go-gold-garantie-2-ans-28040.html,"https://tn.jumia.is/OSqfWjm3QqIdf-BIpDWA1nlKQlA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/04/082/1.jpg?3266"
26,PC Portable 14&#039;&#039; - Quad Core 2Go 32Go - Bleu - Garantie 1 an,407.0,TND,Vega&nbsp;,https://www.jumia.com.tn/vega-pc-portable-14-quad-core-2go-32go-bleu-garantie-1-an-34107.html,"https://tn.jumia.is/C3jeh3d3S4PGYERGsmbaT-_ncX0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/70/143/1.jpg?3924"
27,PC Portable - X541UV GO775 - 8Go - 1To - Rouge - Garantie 2 Ans,1859.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x541uv-go775-8go-1to-rouge-garantie-2-ans-55441.html,"https://tn.jumia.is/DInNDvL3un1XHzHDA9vxdUl1Y8U=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/14/455/1.jpg?8364"
28,PC portable VivoBook S14 S410UN - i7 8è Gén - 8Go - 1To - Gris - Garantie 2 ans,2189.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-s14-s410un-i7-8e-gen-8go-1to-gris-garantie-2-ans-28041.html,"https://tn.jumia.is/igAchhIaY9ILp4hBOTO4zzhgB-s=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/14/082/1.jpg?3956"
29,PC Portable - IdeaPad 320-15ISK - i3 6é Gén- 4Go - 1To - Noir - Garantie 1 An,905.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ideapad-320-15isk-i3-6e-gen-4go-1to-noir-garantie-1-an-73046.html,"https://tn.jumia.is/ySTOAE54gikTSSdh1J-fd-OwyfI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/64/037/1.jpg?2985"
30,PC Portable - IdeaPad 320-15ISK - i3 6é Gén- 4Go - 1To - Bleu - Garantie 1 An,905.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ideapad-320-15isk-i3-6e-gen-4go-1to-bleu-garantie-1-an-73047.html,"https://tn.jumia.is/A088rQydQsglZHYKtIaDVIu4vds=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/74/037/1.jpg?3044"
31,Pc Portable - Notebook - 8 Go - Gris - Garantie 1 An,1579.0,TND,HP&nbsp;,https://www.jumia.com.tn/hp-pc-portable-notebook-8-go-gris-garantie-1-an-95000.html,"https://tn.jumia.is/Lv8iAjbUeskWUj91n3nB1C1stCU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/00/059/1.jpg?9463"
32,PC Portable 15-DA0046NK - i5 7è Gén - 8Go - 1To - Garantie 1 an,1620.0,TND,Hp Invent&nbsp;,https://www.jumia.com.tn/hp-invent-pc-portable-15-da0046nk-i5-7e-gen-8go-1to-garantie-1-an-101306.html,"https://tn.jumia.is/S6328M9mA6Su9ufZNUMS6ZlsJEs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/60/3101/1.jpg?8784"
33,VivoBook Max -  X541NA Dual-Core - 4Go - 500Go - Silver - Garantie 1 An,595.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-vivobook-max-x541na-dual-core-4go-500go-silver-garantie-1-an-55263.html,"https://tn.jumia.is/xa3isQxdYe1AJT3q1aWUJj8AkyA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/36/255/1.jpg?8269"
34,Pc portable Vivobook max - X540UB - i3 8è Gén - 8 Go - 1 To - Silver - Garantie 1 an,1299.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x540ub-i3-8e-gen-8-go-1-to-silver-garantie-1-an-109148.html,"https://tn.jumia.is/gH-FR1gBdva-hXFuKGQUBCn3rwY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/84/1901/1.jpg?2355"
35,Pc portable max - X540UB-GO122 - i7 7è gén - 8 go - Noir - Garantie 2 ans,1789.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-max-x540ub-go122-i7-7e-gen-8-go-noir-garantie-2-ans-101358.html,"https://tn.jumia.is/Cf4hCiqDF542nPNrWNHKffgo7v4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/85/3101/1.jpg?6165"
36,Pc portable Notebook 15-bs009nk / Quad Core / 4 Go / Noir - 2CS69EA - Garantie 1 An,699.0,TND,HP&nbsp;,https://www.jumia.com.tn/hp-pc-portable-notebook-15-bs009nk-quad-core-4-go-noir-2cs69ea-garantie-1-an-26443.html,"https://tn.jumia.is/U8lu2POJQS4204tp18KJwwxAvpo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/34/462/1.jpg?8164"
37,PC Portable 320 -15ISK - i3-6006U - 4Go - 1To - Blanc - Garantie 1 an,909.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-320-15isk-i3-6006u-4go-1to-blanc-garantie-1-an-101309.html,"https://tn.jumia.is/VlEPxOhIcTQebkn4mK1qT2v264A=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/90/3101/1.jpg?8644"
38,PC Portable VivoBook i3 6è Gén - RAM 4Go - ROM 500Go - 15.6&quot; - Silver - X541UA-GO1304D - Garantie 2Ans,939.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-i3-6e-gen-ram-4go-rom-500go-15.6-silver-x541ua-go1304d-garantie-2ans-27646.html,"https://tn.jumia.is/SBLo7CH5qYUyb86goVGKy76OhLw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/64/672/1.jpg?6985"
39,PC Portable - IdeaPad 320-15ISK - i3 6é Gén- 4Go - 1To - Gris - Garantie 1 An,929.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ideapad-320-15isk-i3-6e-gen-4go-1to-gris-garantie-1-an-19685.html,"https://tn.jumia.is/NwUGoT0uUXPEZ5YWCcwXxznkBVo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/58/691/1.jpg?3324"
40,PC Portable IP320-15 - i3-6006U - 15.6&quot; - 4Go DDR4 - 1To HDD - Silver - Garantie 1 an,919.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ip320-15-i3-6006u-15.6-4go-ddr4-1to-hdd-silver-garantie-1-an-96651.html,"https://tn.jumia.is/422Xl-F52NQnAwGtTMkUi6Td-OM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/15/669/1.jpg?8905"
41,PC portable IPS SCL142ALDDP - RAM 4Go - ROM 32Go -  14.1&quot; - Argent - Garantie 2ans,669.0,TND,Schneider Electric&nbsp;,https://www.jumia.com.tn/schneider-electric-pc-portable-ips-scl142alddp-ram-4go-rom-32go-14.1-argent-garantie-2ans-67649.html,"https://tn.jumia.is/mQckWDtiLllWW47Qe5DhYI-PJF8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/94/676/1.jpg?7943"
42,Ideapad 330-151GM - Celeron N4000 - 4Go - 500Go - 2 Go Graphique - Gris - Garantie 1 An,869.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-ideapad-330-151gm-celeron-n4000-4go-500go-2-go-graphique-gris-garantie-1-an-109470.html,"https://tn.jumia.is/nYIQ-wznFuJcu244MIqE5BpAY0Y=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/07/4901/1.jpg?8525"
43,Pc Portable IdeaPad 320 - i3 6è Gén - 4 Go - Noir - Garantie 1 An,899.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ideapad-320-i3-6e-gen-4-go-noir-garantie-1-an-82625.html,"https://tn.jumia.is/fXEY4mPvLLlJVT3NKMSuDlFeeRk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/52/628/1.jpg?9046"
44,PC Portable IP110 - N3060 - 2Go - 500Go - Noir + Saccoche - Garantie 1 An,699.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ip110-n3060-2go-500go-noir-saccoche-garantie-1-an-83494.html,"https://tn.jumia.is/RVpHcS7ITTVYkgo7cJ_TuGe6H3Y=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/49/438/1.jpg?9697"
45,Pc Portable - X541NA - 15.6&quot; - 4 Go - 500 Go - Garantie 1 An,740.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x541na-15.6-4-go-500-go-garantie-1-an-57626.html,"https://tn.jumia.is/XDC8F4zAAQ34WEodmWpAwQa65vI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/62/675/1.jpg?9584"
46,PC Portable Dual-Core - N3710 - Ideapad110 - 4Go - 500Go - Noir - Garantie 1 an,765.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-dual-core-n3710-ideapad110-4go-500go-noir-garantie-1-an-82771.html,"https://tn.jumia.is/JAbWlGfF9za5Vx7yDugf1mfLhpo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/17/728/1.jpg?7571"
47,Pc - Portable - Dual-Core - 4Go/500Go  - Garantie 1 an,659.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-dual-core-4go500go-garantie-1-an-90936.html,"https://tn.jumia.is/QliIQgwGkzeswNq3W5w-n_8iXh8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/63/909/1.jpg?2666"
48,Pc Portable IdeaPad 320  i3 6è Gén - 4 Go - Grey 1 To - Garantie 1 An,899.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ideapad-320-i3-6e-gen-4-go-grey-1-to-garantie-1-an-82715.html,"https://tn.jumia.is/A_l-6dEo1i5xBpeGY5QTPeVkWYo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/51/728/1.jpg?7885"
49,Pc Portable - X541SA - Dual Core - 4 Go - 500 Go - noir - Garantie 1 an,689.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x541sa-dual-core-4-go-500-go-noir-garantie-1-an-101479.html,"https://tn.jumia.is/B_j1Ypk5NhnFgWu38Ejsmyrjt7k=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/97/4101/1.jpg?9464"
50,PC Portable - VivoBook Max X541NA-GO013 Quad-Core - 4Go - 500Go - Silver &amp; souris offerte - Garantie 1 An,749.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x541na-go013-quad-core-4go-500go-silver-souris-offerte-garantie-1-an-40462.html,"https://tn.jumia.is/Q1sgeFcxB4i-YR-8x_mj46bNDJw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/26/404/1.jpg?8953"
51,PC Portable -VivoBook Max X541NA - Quad-Core - 4Go - 500Go - Rouge - Garantie 1 An,749.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x541na-quad-core-4go-500go-rouge-garantie-1-an-40461.html,"https://tn.jumia.is/cwEs0Dzuw9n81I9GTZLWY4uaosE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/16/404/1.jpg?3867"
52,Pc portable Spectre x360 - 4 Go - 128 Go - 13.3&quot; - Gris - Garantie 1 an,2650.0,TND,HP&nbsp;,https://www.jumia.com.tn/hp-pc-portable-spectre-x360-4-go-128-go-13.3-gris-garantie-1-an-103416.html,"https://tn.jumia.is/ucEFoVHjkUK89mmLnYF8Pep-6n0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/61/4301/1.jpg?6626"
