ID,productName,price,processeur,freqProcesseur,mememoire,ecran,disqueDur,carteGraphique,desciption,linkToDetails,imgPath
1,PC Portable SCHNEIDER SCL141CTP Quad-Core 2Go 32Go eMMC,"449,000 DT",Intel Atom,"1,44 GHz up to 1.92 Ghz",2 Go,IPS FULL HD,32 Go eMMC,Graphique Intégrée,"Ecran 14.1"" IPS Full HD (1920 x 1080 px) - Processeur: Intel Atom x5-8350 Quad-Core (1,44 GHz up to 1.92 Ghz, 2 Mo de Mémoire cache) - Systéme d'exploitation: Windows 10 - Mémoire RAM: 2 Go - Disque Dur: 32 Go eMMC - Carte graphique: Intel HD Graphics, avec USB 3.0, Mini HDMI, Wifi, et Webcam 0.3 MP - Garantie: 2 ans Retrait en Magasin ou Livraison...",https://www.mytek.tn/pc-portable/18036-pc-portable-schneider-scl141ctp-quad-core-2go-32go-emmc.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/9/3/2/6/59326-product_category.jpg
2,PC Portable VEGABOOK Pro Quad Core 2Go 32 Go Bleu,"469,000 DT",Quad Core,"1.44 GHz up to 1,92 GHz",2 Go,HD,32 Go,Graphique Intégrée,"Ecran 14’’ HD (1366 x 768 Pixels) - Processeur: CherryTrail Z8350 (1.44 GHz up to 1,92 GHz ,2Mo mémoire cache, Quad-Core) - Systéme d'exploitation: Windows 10 - Mémoire RAM: 2 Go DDR3 - Disque Dur: 32 Go - Carte graphique: Intel HD Graphics, avec USB2.0, HDMI, WebCam 0.3MP - Couleur: Bleu - Garantie: 1 an + Etui Retrait en Magasin ou Livraison Gratuite...",https://www.mytek.tn/pc-portable/20965-pc-portable-vegabook-pro-quad-core-2go-32-go-bleu.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/1/8/8/65188-product_category.jpg
3,PC Portable VEGABOOK Pro Quad Core 2Go 32 Go Blanc,"469,000 DT",Quad Core,"1.44 GHz up to 1,92 GHz",2 Go,HD,32 Go,Graphique Intégrée,"Ecran 14’’ HD (1366 x 768 Pixels) - Processeur: CherryTrail Z8350 (1.44 GHz up to 1,92 GHz ,2Mo mémoire cache, Quad-Core) - Systéme d'exploitation: Windows 10 - Mémoire RAM: 2 Go DDR3 - Disque Dur: 32 Go - Carte graphique: Intel HD Graphics, avec USB2.0, HDMI, WebCam 0.3MP - Couleur: Blanc - Garantie: 1 an + Etui Retrait en Magasin ou Livraison...",https://www.mytek.tn/pc-portable/20962-pc-portable-vegabook-pro-quad-core-2go-32-go-blanc.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/1/8/2/65182-product_category.jpg
4,PC Portable VEGABOOK Pro Quad Core 2Go 32 Go Silver,"469,000 DT",Quad Core,"1.44 GHz up to 1,92 GHz",2 Go,HD,32 Go,Graphique Intégrée,"Ecran 14’’ HD (1366 x 768 Pixels) - Processeur: CherryTrail Z8350 (1.44 GHz up to 1,92 GHz ,2Mo mémoire cache, Quad-Core) - Systéme d'exploitation: Windows 10 - Mémoire RAM: 2 Go DDR3 - Disque Dur: 32 Go - Carte graphique: Intel HD Graphics, avec USB2.0, HDMI, WebCam 0.3MP - Couleur: Silver - Garantie: 1 an + Etui Retrait en Magasin ou Livraison...",https://www.mytek.tn/pc-portable/20961-pc-portable-vegabook-pro-quad-core-2go-32-go-silver.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/1/8/1/65181-product_category.jpg
5,Pc Portable HP Notebook 15-bw003nk Dual Core 4Go 500Go Noir (2YN15EA),"559,000 DT",AMD,"1,5 GHz Up To 2 GHz",4 Go,LED HD,500 Go,AMD Readon,"Ecran: 15.6 HD LED anti-reflets (1 366 x 768) - Processeur:AMD E2-9000e(1,5 GHz Up To 2 GHz, 1 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 500 Go - Carte graphique: AMD Radeon R2 avecUSB 3.1, HDMI, RJ-45, Wifi, Bluetooth - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/13650-pc-portable-hp-notebook-15-bw003nk-.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/0/1/1/2/50112-product_category.jpg
6,PC Portable ASUS VivoBook E12 E203NAH Dual Core 2Go 500Go - Gris,"619,000 DT",Intel Celeron-Dual Core,"1,10 GHz up to 2,40 GHz",2 Go,HD,32 Go eMMC,Graphique Intégrée,"Ecran 11.6"" HD - Processeur:Intel Celeron N3350 Dual-Core (1,10 GHz up to 2,40 GHz, 2 Mo de mémoire Cache, Dual-Core) - Systéme d'exploitation: Windows 10 - Mémoire RAM: 2 Go - Disque Dur: 32 Go EMMC + 32 Go SD Card - Carte Graphique: Intel HD Graphics, avec WiFi, WebCam, HDMI, Bluetooth - Couleur: Gris - Garantie: 1 an Retrait en Magasin ou Livraison...",https://www.mytek.tn/pc-portable/20744-pc-portable-asus-vivobook-e12-e203nah-dual-core-2go-500go-gris.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/7/3/3/64733-product_category.jpg
7,PC Portable ASUS VivoBook E12 E203NAH Dual Core 2Go 500Go - Rose,"619,000 DT",Intel Celeron-Dual Core,"1,10 GHz up to 2,40 GHz",2 Go,HD,32 Go eMMC,Graphique Intégrée,"Ecran 11.6"" HD - Processeur: Intel Celeron N3350 Dual-Core (1,10 GHz up to 2,40 GHz, 2 Mo de mémoire Cache, Dual-Core) - Systéme d'exploitation: Windows 10 - Mémoire RAM: 2 Go - Disque Dur: 32 Go EMMC + 32 Go SD Card - Carte Graphique: Intel HD Graphics, avec WiFi, WebCam, HDMI, Bluetooth - Couleur: Rose - Garantie: 1 an Retrait en Magasin ou Livraison...",https://www.mytek.tn/pc-portable/20743-pc-portable-asus-vivobook-e12-e203nah-dual-core-2go-500go-rose.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/7/3/0/64730-product_category.jpg
8,Pc Portable DELL Inspiron 3552 Dual-Core 4Go 500Go Noir (DI77U051),"629,000 DT",Intel Celeron-Dual Core,1.6 GHz up to 2.48 GHz,4 Go,,500 Go,Graphique Intégrée,"Ecran 15.6"" HD LED - Processeur Intel® Celeron® Dual-Core N3060 (1.6 GHz up to 2.48 GHz, 2Mo de mémoire Cache)- Systéme d'exploitation:Free Dos - Mémoire RAM: 4 Go DDR3, Disque Dur 500 Go - Carte Graphique: Intel HD ® Graphics, avec WiFi, Ethernet, Bluetooth, Couleur: Noir, Garantie: 1an Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/10266-pc-portable-dell-3552-dual-core-4-go-500-go-noir.html,https://d2j7t5u190oygv.cloudfront.net/img/p/4/4/4/0/5/44405-product_category.jpg
9,PC Portable LENOVO IP320-15AST Dual Core 4Go 1To Noir (81D6006MFG),"629,000 DT",AMD,"1.80 GHz up to 2,2 GHz",4 Go,LED HD,1 To,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768) - Processeur AMD E2-9000 Dual-Core (1.80 GHz Up To 2.20 GHz, 1 Mo de mémoire cache) - Systéme D'exploitation:FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 1 To - Carte graphique: Intel HD Graphics, avec Bluetooth, Webcam HD, HDMI, USB 3.0 - Couleur: Noir - Garantie 1 an Retrait en Magasin ou Livraison Gratuite pour Cet...",https://www.mytek.tn/pc-portable/19349-pc-portable-lenovo-ip320-15ast-dual-core-4go-1to-noir-81d6006mfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/1/9/6/6/61966-product_category.jpg
10,PC Portable ASUS VivoBook E12 E203NAH Dual Core 2Go 500Go Gris,"639,000 DT",Intel Celeron-Dual Core,1.10 GHz up to 2.4 GHz,2 Go,HD,500 Go,Graphique Intégrée,"Ecran 11.6"" HD - Processeur: Intel Celeron N3350 Dual-Core (1.10 GHz up to 2.4 GHz, 2 Mo de mémoire Cache, Dual-Core) - Systéme d'exploitation: FreeDos - Disque Dur: 500 Go - Mémoire RAM: 2 Go - Carte Graphique: Intel HD Graphics, avec WiFi, WebCam, HDMI, Bluetooth - Couleur: Gris - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/18131-pc-portable-asus-vivobook-e12-e203nah-dual-core-2go-500go-gris.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/9/4/9/7/59497-product_category.jpg
